"","year","temp"
"1",1880,-0.16
"2",1881,-0.08
"3",1882,-0.11
"4",1883,-0.17
"5",1884,-0.28
"6",1885,-0.33
"7",1886,-0.31
"8",1887,-0.36
"9",1888,-0.17
"10",1889,-0.1
"11",1890,-0.35
"12",1891,-0.22
"13",1892,-0.27
"14",1893,-0.31
"15",1894,-0.3
"16",1895,-0.22
"17",1896,-0.11
"18",1897,-0.11
"19",1898,-0.27
"20",1899,-0.17
"21",1900,-0.08
"22",1901,-0.15
"23",1902,-0.28
"24",1903,-0.36
"25",1904,-0.46
"26",1905,-0.25
"27",1906,-0.22
"28",1907,-0.38
"29",1908,-0.42
"30",1909,-0.48
"31",1910,-0.43
"32",1911,-0.44
"33",1912,-0.36
"34",1913,-0.33
"35",1914,-0.14
"36",1915,-0.13
"37",1916,-0.35
"38",1917,-0.45
"39",1918,-0.29
"40",1919,-0.27
"41",1920,-0.27
"42",1921,-0.18
"43",1922,-0.28
"44",1923,-0.26
"45",1924,-0.27
"46",1925,-0.22
"47",1926,-0.11
"48",1927,-0.22
"49",1928,-0.2
"50",1929,-0.36
"51",1930,-0.15
"52",1931,-0.09
"53",1932,-0.16
"54",1933,-0.28
"55",1934,-0.12
"56",1935,-0.2
"57",1936,-0.14
"58",1937,-0.03
"59",1938,0
"60",1939,-0.02
"61",1940,0.13
"62",1941,0.19
"63",1942,0.07
"64",1943,0.09
"65",1944,0.21
"66",1945,0.1
"67",1946,-0.07
"68",1947,-0.02
"69",1948,-0.1
"70",1949,-0.11
"71",1950,-0.17
"72",1951,-0.07
"73",1952,0.01
"74",1953,0.08
"75",1954,-0.13
"76",1955,-0.14
"77",1956,-0.19
"78",1957,0.05
"79",1958,0.06
"80",1959,0.03
"81",1960,-0.03
"82",1961,0.06
"83",1962,0.03
"84",1963,0.05
"85",1964,-0.2
"86",1965,-0.11
"87",1966,-0.06
"88",1967,-0.02
"89",1968,-0.08
"90",1969,0.05
"91",1970,0.03
"92",1971,-0.08
"93",1972,0.01
"94",1973,0.16
"95",1974,-0.07
"96",1975,-0.01
"97",1976,-0.1
"98",1977,0.18
"99",1978,0.07
"100",1979,0.16
"101",1980,0.26
"102",1981,0.32
"103",1982,0.14
"104",1983,0.31
"105",1984,0.16
"106",1985,0.12
"107",1986,0.18
"108",1987,0.32
"109",1988,0.39
"110",1989,0.27
"111",1990,0.45
"112",1991,0.4
"113",1992,0.22
"114",1993,0.23
"115",1994,0.31
"116",1995,0.45
"117",1996,0.33
"118",1997,0.46
"119",1998,0.61
"120",1999,0.38
"121",2000,0.39
"122",2001,0.53
"123",2002,0.63
"124",2003,0.62
"125",2004,0.53
"126",2005,0.68
"127",2006,0.64
"128",2007,0.66
"129",2008,0.54
"130",2009,0.66
"131",2010,0.72
"132",2011,0.61
"133",2012,0.65
"134",2013,0.68
"135",2014,0.74
"136",2015,0.9
"137",2016,1.02
"138",2017,0.92
"139",2018,0.85
"140",2019,0.98
"141",2020,1.01
"142",2021,0.85
"143",2022,0.89
"144",2023,1.17
